city,latitude,longitude,zip_code
Milpitas,37.4343819,-121.8906798,95035
San Jose,37.2158872,-121.8625446,95120
Cupertino,37.3177713,-122.037174,95014
Mountain View,37.3819115,-122.0820653,94040
Los Altos Hills,37.3845151,-122.1123869,94022
Palo Alto,37.4222252,-122.1350713,94306
Sunnyvale,37.3578249,-122.0391332,94087
Stanford,37.4261516,-122.1644872,94305
Los Gatos,37.2439776,-121.9491561,95032
Saratoga,37.277189,-122.0044865,95070
Campbell,37.2793232,-121.9533826,95008
Morgan Hill,37.1358849,-121.6675939,95037
Gilroy,37.0102911,-121.5742009,95020
Santa Clara,37.3489779,-121.984446,95051
Los Altos,37.3568789,-122.0859784,94024
Monte Sereno,37.2274087,-121.981375,95030
San Martin,37.0857294,-121.6059804,95046
